book_name,book_link,author_name,author_profile,price
Lawa,http://www.libertybooks.com/urdu-books/Lawa-28641?limit=100,By: Javed Akhtar,,Ex Tax:Rs 895.00
LoheeKhak,http://www.libertybooks.com/urdu-books/LoheeKhak-28124?limit=100,By: Ahmed Nadeem Qasmi,,Ex Tax:Rs 600.00
Loud Speaker,http://www.libertybooks.com/urdu-books/Loud-Speaker-20861?limit=100,By: Dr.Aamir Liaquat Hussain,,Ex Tax:Rs 300.00
Maa Jee -,http://www.libertybooks.com/urdu-books/Maa-Jee---26614?limit=100,By: Qudrat Ullah Shahab,,Ex Tax:Rs 500.00
Maan Maiwaal,http://www.libertybooks.com/urdu-books/maan-maiwaal-9789693524345?limit=100,By: Abdaal Baila,,Ex Tax:Rs 270.00
Machhli ko terna achha lagta ha ,http://www.libertybooks.com/urdu-books/machhli-ko-terna-achha-lagta-ha-9789695501689?limit=100,By: FAQRI,,Ex Tax:Rs 170.00
Madaar,http://www.libertybooks.com/urdu-books/Madaar-27508?limit=100,By: Sheen Farrukh,,Ex Tax:Rs 525.00
MahaheNeem Shab,http://www.libertybooks.com/urdu-books/MahaheNeem-Shab-3942?limit=100,By: Rizwana Anwer,,Ex Tax:Rs 150.00
Mahay Ramzan Kay Fazail Aur Masahil,http://www.libertybooks.com/urdu-books/Mahay-Ramzan-Kay-Fazail-Aur-Masahil-34068?limit=100,By: Azam Gilani,,Ex Tax:Rs 190.00
Main Aap Aur Woh,http://www.libertybooks.com/urdu-books/Main-Aap-Aur-Woh-3601?limit=100,By: Mazhar Ul Islam,,Ex Tax:Rs 262.50
MAIZ KAY NEECHAY,http://www.libertybooks.com/urdu-books/MAIZ-KAY-NEECHAY-25747?limit=100,By: Rakhshi Niyazi,,Ex Tax:Rs 195.00
Majmua Balwant Singh Green,http://www.libertybooks.com/urdu-books/Majmua-Balwant-Singh-Green-27538?limit=100,By: Jameel Akhtar,,"Ex Tax:Rs 1,350.00"
"MAJMUA SHAFIQ UR REHMAN: KIRNAY, SHAGOFEY, LAHREY, MADDOJAZA","http://www.libertybooks.com/urdu-books/majmua-shafiq-ur-rehman:-kirnay,-shagofey,-lahrey,-maddojaza?limit=100",By: Shafiq-ur-Rahman,,"Ex Tax:Rs 2,200.00"
Manay Na Manay,http://www.libertybooks.com/urdu-books/manay-na-manay-1000000010320?limit=100,By: Dale Carnegie,,Ex Tax:Rs 400.00
